condition,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_1,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_2,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3,WT_3
TRIAE_CS42_3AL_TGACV1_193821_AA0620220,5.791793352,6.036590865,5.74037795,4.640286333,5.418275812,4.589974311,4.646465668,3.980251585,5.670094693,4.357197169,5.93536234,7.029574602,4.761241877,4.813727879,4.308681448,6.551705854,5.696529569,4.386022391,5.702071011,5.493279527,6.274117746,6.171556537,4.913037166,5.469510566,4.14472077,5.992526483,3.83081295,4.707076744,3.808882247,6.026561384
TRIAE_CS42_3AL_TGACV1_194123_AA0626970,5.069763204,6.888731264,4.96514771,5.979011327,5.474742406,5.248882712,6.17874651,5.412574683,6.974612111,6.020602144,5.168383609,6.853854377,4.614050638,5.942343366,4.946261737,6.71062895,6.169950424,5.676650715,6.522265871,6.616293272,6.146193917,5.688521956,4.933394214,5.849418147,5.25584667,5.909695225,5.685734689,5.284588049,5.997559684,6.698023511
TRIAE_CS42_3AL_TGACV1_194368_AA0631880,4.667647209,6.49577298,4.971346845,5.199364059,5.095809429,4.369461776,5.431986875,4.919309167,6.469178996,6.009915771,4.772809484,6.222889711,3.061042372,5.411061059,3.315962607,6.307717677,5.805442151,5.695397418,6.455077487,6.467285597,5.690771532,5.443776095,3.481203166,6.022752436,4.703856478,5.50145411,4.772606505,5.000046093,5.560750859,6.352348869
TRIAE_CS42_3AL_TGACV1_195687_AA0652750,7.270417265,8.256272485,6.667927059,6.954190291,6.644862075,6.369414563,7.314353079,6.075378214,6.994153134,5.376731056,7.434162871,8.248353809,6.270426838,7.035215781,6.21960161,8.010027528,7.109389147,6.51434077,7.264317217,5.982655864,7.673776456,6.841111076,6.858234098,7.083899462,6.396896321,7.301208533,6.440584434,6.54944042,5.265551377,7.28633554
TRIAE_CS42_3AL_TGACV1_196850_AA0663290,7.721162425,7.238080087,5.974887911,6.132475709,5.061752906,5.47366466,6.12250816,5.303782406,5.981300568,4.728316591,6.990026271,7.239358538,4.984811375,5.707003947,4.499650769,6.553993231,6.568695698,5.561884753,5.470668551,5.650564522,7.923992698,5.832594833,5.138447865,6.377741739,4.511344005,6.197738605,5.232700931,5.504916816,4.782864386,6.103189268
TRIAE_CS42_3AL_TGACV1_196916_AA0663740,5.696910248,6.216831625,5.382210345,5.887887163,5.253875808,5.055850823,5.850113518,5.848412548,5.661107027,5.406821934,6.093112329,6.568603335,4.573860101,5.484052258,4.629917626,6.52869668,5.695455401,5.439695394,5.637541527,5.369759782,6.295446428,5.850456243,5.088534414,5.813969026,5.012952607,5.8506191,5.54089889,5.109081763,5.468511094,5.957099034
TRIAE_CS42_3AL_TGACV1_197652_AA0666930,4.622725191,6.264536662,4.92430732,5.399767748,5.383347616,4.184695496,5.785829327,5.216966303,5.291987374,4.233562879,5.224939897,6.202899823,3.653438788,5.415767013,4.261222478,5.755868788,5.207659349,4.962718748,5.763192241,4.669055369,5.998219183,5.551823281,3.588194104,5.666544328,5.100134685,5.530151049,5.363486939,4.829441102,5.150501579,5.104052775
TRIAE_CS42_3AS_TGACV1_210485_AA0673140,7.190152386,7.878280376,6.867385266,6.916884877,6.976422764,6.450306996,7.501838744,6.801281922,7.8198644,7.07853549,7.822769196,8.344064483,6.101631991,7.082229459,6.127665155,8.172009117,7.6080227,7.10884028,7.842179874,7.579957589,8.023985162,7.000243298,6.641836003,7.348323661,6.889895743,7.757636941,6.840715499,6.586618038,6.815886012,7.661592962
TRIAE_CS42_3AS_TGACV1_210940_AA0681860,5.783612852,7.149186585,5.665058971,6.614199993,6.209939216,5.579156077,6.345057246,6.698462856,5.974064032,5.394081989,6.067448259,6.961627744,4.594350868,6.190520303,5.609838028,7.010239663,5.451467546,6.091006669,6.373490423,5.136386499,6.440005109,6.410608998,5.595083058,6.664841325,6.413814632,6.153770454,6.412271367,5.458925722,6.5578559,6.332927879
TRIAE_CS42_3AS_TGACV1_211129_AA0685750,6.052067992,6.855091572,5.794439421,6.216941374,5.885128556,5.559045678,6.25671311,6.251720822,6.058029139,5.784089763,6.289990116,7.122648893,5.021674141,5.857681694,5.210234507,6.896146153,5.841542414,5.878522587,6.24117213,6.274385302,6.667457939,6.209147215,5.817756785,6.377683973,5.746857928,6.039335241,5.80583051,5.353425625,6.196818803,6.553142493
TRIAE_CS42_3AS_TGACV1_211401_AA0689790,5.789008648,5.878547777,5.435789733,5.080615234,5.761183081,4.592222728,5.468768751,6.197891146,6.688637364,6.498215882,6.470768544,6.562675705,4.680008606,4.987134638,4.403948339,6.52005543,5.906513773,6.032762428,6.317056378,6.313750924,6.205861962,5.785334811,5.356741923,6.236359805,4.995467509,6.303735568,5.101730543,4.86794206,6.208193569,6.741124377
TRIAE_CS42_3B_TGACV1_220646_AA0713620,5.264465814,6.406312168,5.999526958,6.247143476,5.64012179,5.901077479,6.147377958,6.760741405,6.375900076,6.088262256,5.948322154,6.649585406,3.984241336,5.808787927,5.55249436,7.163629297,6.067285772,5.936163231,6.586179931,5.473068675,6.077121466,5.308970421,4.983428524,6.484500875,6.14294667,5.788635134,6.314138452,5.428125587,6.86341042,6.338670047
TRIAE_CS42_3B_TGACV1_220765_AA0718590,7.526682612,7.851740007,6.942457337,7.040098527,6.498951203,6.195430376,6.911086066,6.452373775,7.686297786,6.621666962,7.582646397,8.398366659,5.804682939,6.956361426,5.339424804,8.290566983,7.810705136,6.7270592,7.100755449,7.436193717,7.763660008,7.133649843,6.18733517,7.326211626,5.902639508,8.028695742,6.160620272,6.912140134,6.477140041,7.500144115
TRIAE_CS42_3B_TGACV1_220966_AA0725270,5.312402701,6.033735891,5.075355049,5.551388584,5.259228245,4.663439094,5.464865169,5.430910194,5.50722811,4.984305008,5.378430841,6.418938996,4.223309294,5.106078798,4.248708077,6.176924923,5.380086276,5.126419296,5.573840822,5.737852123,5.899445197,5.666450909,4.965658848,5.448042554,5.047609897,5.237308608,5.208999696,4.900656724,5.499227579,6.000394556
TRIAE_CS42_3B_TGACV1_221115_AA0730720,6.19249336,7.994568228,6.186864787,7.264317217,6.836333388,6.153426071,7.369670031,6.749020944,7.982023644,7.318731838,6.644355979,8.118093779,5.475035755,7.046377442,6.252300722,7.720665755,7.250791639,6.563305305,7.896846557,7.586001997,7.436941314,6.807353559,6.197864707,7.22565613,6.902567847,7.091750435,7.113410802,6.128575152,7.269491394,7.816771616
TRIAE_CS42_3B_TGACV1_221645_AA0746460,5.92184648,7.088492248,5.07579862,6.161730392,3.529297384,4.837075243,5.822903874,3.763522997,5.814428995,5.278624733,4.710430697,5.919162635,3.205737899,6.282453645,2.949688335,6.272288154,6.069903662,4.701389044,5.342812606,4.91338991,6.274950327,3.808882247,2.977741404,5.873477428,3.914021008,4.673762977,5.09436351,5.04407007,4.406525326,4.997887721
