"condition","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT","WT"
"time","3","3","3","7","7","7","10","10","10","13","13","13","15","15","15","17","17","17","19","19","19","21","21","21","23","23","23","26","26","26"
"TRIAE_CS42_3AL_TGACv1_195687_AA0652750","7.270417265","7.434162871","7.673776456","8.256272485","8.248353809","6.841111076","6.667927059","6.270426838","6.858234098","6.954190291","7.035215781","7.083899462","6.644862075","6.21960161","6.396896321","6.369414563","8.010027528","7.301208533","7.314353079","7.109389147","6.440584434","6.075378214","6.51434077","6.54944042","6.994153134","7.264317217","5.265551377","5.376731056","5.982655864","7.28633554"
"TRIAE_CS42_3AL_TGACv1_196850_AA0663290","7.721162425","6.990026271","7.923992698","7.238080087","7.239358538","5.832594833","5.974887911","4.984811375","5.138447865","6.132475709","5.707003947","6.377741739","5.061752906","4.499650769","4.511344005","5.47366466","6.553993231","6.197738605","6.12250816","6.568695698","5.232700931","5.303782406","5.561884753","5.504916816","5.981300568","5.470668551","4.782864386","4.728316591","5.650564522","6.103189268"
"TRIAE_CS42_3AL_TGACv1_196916_AA0663740","5.696910248","6.093112329","6.295446428","6.216831625","6.568603335","5.850456243","5.382210345","4.573860101","5.088534414","5.887887163","5.484052258","5.813969026","5.253875808","4.629917626","5.012952607","5.055850823","6.52869668","5.8506191","5.850113518","5.695455401","5.54089889","5.848412548","5.439695394","5.109081763","5.661107027","5.637541527","5.468511094","5.406821934","5.369759782","5.957099034"
"TRIAE_CS42_3AL_TGACv1_197652_AA0666930","4.622725191","5.224939897","5.998219183","6.264536662","6.202899823","5.551823281","4.92430732","3.653438788","3.588194104","5.399767748","5.415767013","5.666544328","5.383347616","4.261222478","5.100134685","4.184695496","5.755868788","5.530151049","5.785829327","5.207659349","5.363486939","5.216966303","4.962718748","4.829441102","5.291987374","5.763192241","5.150501579","4.233562879","4.669055369","5.104052775"
"TRIAE_CS42_3AS_TGACv1_210485_AA0673140","7.190152386","7.822769196","8.023985162","7.878280376","8.344064483","7.000243298","6.867385266","6.101631991","6.641836003","6.916884877","7.082229459","7.348323661","6.976422764","6.127665155","6.889895743","6.450306996","8.172009117","7.757636941","7.501838744","7.6080227","6.840715499","6.801281922","7.10884028","6.586618038","7.8198644","7.842179874","6.815886012","7.07853549","7.579957589","7.661592962"
"TRIAE_CS42_3AS_TGACv1_210940_AA0681860","5.783612852","6.067448259","6.440005109","7.149186585","6.961627744","6.410608998","5.665058971","4.594350868","5.595083058","6.614199993","6.190520303","6.664841325","6.209939216","5.609838028","6.413814632","5.579156077","7.010239663","6.153770454","6.345057246","5.451467546","6.412271367","6.698462856","6.091006669","5.458925722","5.974064032","6.373490423","6.5578559","5.394081989","5.136386499","6.332927879"
"TRIAE_CS42_3AS_TGACv1_211129_AA0685750","6.052067992","6.289990116","6.667457939","6.855091572","7.122648893","6.209147215","5.794439421","5.021674141","5.817756785","6.216941374","5.857681694","6.377683973","5.885128556","5.210234507","5.746857928","5.559045678","6.896146153","6.039335241","6.25671311","5.841542414","5.80583051","6.251720822","5.878522587","5.353425625","6.058029139","6.24117213","6.196818803","5.784089763","6.274385302","6.553142493"
"TRIAE_CS42_3AS_TGACv1_211401_AA0689790","5.789008648","6.470768544","6.205861962","5.878547777","6.562675705","5.785334811","5.435789733","4.680008606","5.356741923","5.080615234","4.987134638","6.236359805","5.761183081","4.403948339","4.995467509","4.592222728","6.52005543","6.303735568","5.468768751","5.906513773","5.101730543","6.197891146","6.032762428","4.86794206","6.688637364","6.317056378","6.208193569","6.498215882","6.313750924","6.741124377"
"TRIAE_CS42_3B_TGACv1_220646_AA0713620","5.264465814","5.948322154","6.077121466","6.406312168","6.649585406","5.308970421","5.999526958","3.984241336","4.983428524","6.247143476","5.808787927","6.484500875","5.64012179","5.55249436","6.14294667","5.901077479","7.163629297","5.788635134","6.147377958","6.067285772","6.314138452","6.760741405","5.936163231","5.428125587","6.375900076","6.586179931","6.86341042","6.088262256","5.473068675","6.338670047"
"TRIAE_CS42_3B_TGACv1_220765_AA0718590","7.526682612","7.582646397","7.763660008","7.851740007","8.398366659","7.133649843","6.942457337","5.804682939","6.18733517","7.040098527","6.956361426","7.326211626","6.498951203","5.339424804","5.902639508","6.195430376","8.290566983","8.028695742","6.911086066","7.810705136","6.160620272","6.452373775","6.7270592","6.912140134","7.686297786","7.100755449","6.477140041","6.621666962","7.436193717","7.500144115"
